axial_position_m,local_diameter_m
0.0,0.07129266
0.0025700000000000002,0.07055400689704673
0.0051400000000000005,0.06978336594132765
0.007710000000000001,0.06897998499519559
0.010280000000000001,0.06814332618583435
0.01285,0.06727260992752786
0.015420000000000001,0.06636757033098323
0.017990000000000003,0.06542750925953368
0.020560000000000002,0.06445162142303107
0.02313,0.06343944049965848
0.0257,0.062390357886961956
0.028270000000000003,0.06130369820303546
0.030840000000000003,0.06017879140475584
0.03341,0.05901488090856469
0.035980000000000005,0.057811224595329884
0.03855,0.05656715824631271
0.041120000000000004,0.05528192776438717
0.04369000000000001,0.05395465480932645
0.04626,0.05258450282337142
0.048830000000000005,0.05117070536241447
0.0514,0.04971238895922573
0.053970000000000004,0.048208667942902794
0.05654000000000001,0.04665863516450948
0.05911,0.04506106142164184
0.061680000000000006,0.04341523068952742
0.06425,0.04172010514963127
0.06682,0.03997430414197894
0.06939000000000001,0.03817713864896154
0.07196000000000001,0.036327027022077116
0.07453000000000001,0.03442314382921576
0.0771,0.03246401620741151
0.07967,0.03044833173747945
0.08224000000000001,0.02837489598323646
0.08481000000000001,0.026271740583076554
0.08738000000000001,0.025810913915164737
0.08995,0.026425629437454388
0.09252,0.027763166551443313
0.09509000000000001,0.02991021491935484
0.09766000000000001,0.03280782066251549
0.10023000000000001,0.035775401189010736
0.1028,0.03874298171550595
0.10537,0.04171056224200119
0.10794000000000001,0.04467814276849644
0.11051000000000001,0.04764572329499167
0.11308000000000001,0.050451149591198445
0.11565000000000002,0.05296327152079117
0.11822,0.05518675645180457
0.12079000000000001,0.05715112715967775
0.12336000000000001,0.0588534401377045
0.12593000000000001,0.06031964884491057
0.1285,0.06155031417791517
0.13107000000000002,0.06255141969607217
0.13364,0.06333532745364859
0.13621000000000003,0.06390223948291668
0.13878000000000001,0.06424992289722779
0.14135,0.06438850133665694
0.14392000000000002,0.06439566000000001
0.14649,0.06439566000000001
0.14906000000000003,0.06439566000000001
0.15163000000000001,0.06439566000000001
0.1542,0.06439566000000001
0.15677000000000002,0.06439566000000001
0.15934,0.06439566000000001
0.16191000000000003,0.06439566000000001
0.16448000000000002,0.06439566000000001
0.16705,0.06439566000000001
0.16962000000000002,0.06439566000000001
0.17219,0.06439566000000001
0.17476000000000003,0.06439566000000001
0.17733000000000002,0.06439566000000001
0.1799,0.06439566000000001
0.18247000000000002,0.06439566000000001
0.18504,0.06439566000000001
0.18761000000000003,0.06439566000000001
0.19018000000000002,0.06439566000000001
0.19275,0.06439566000000001
0.19532000000000002,0.06439566000000001
0.19789,0.06439566000000001
0.20046000000000003,0.06439566000000001
0.20303000000000002,0.06439566000000001
0.2056,0.06439566000000001
0.20817000000000002,0.06439566000000001
0.21074,0.06439566000000001
0.21331000000000003,0.06439566000000001
0.21588000000000002,0.06439566000000001
0.21845000000000003,0.06439566000000001
0.22102000000000002,0.06439566000000001
0.22359,0.06439566000000001
0.22616000000000003,0.06439566000000001
0.22873000000000002,0.06439566000000001
0.23130000000000003,0.06439566000000001
0.23387000000000002,0.06439566000000001
0.23644,0.06439566000000001
0.23901000000000003,0.06439566000000001
0.24158000000000002,0.06439566000000001
0.24415000000000003,0.06439566000000001
0.24672000000000002,0.06439566000000001
0.24929,0.06439566000000001
0.25186000000000003,0.06439566000000001
0.25443000000000005,0.06439566000000001
