axial_position_m,T_gas_K,mach_number,dT_dx_K_per_m
0.0,3396.603396603397,0,0.0
0.0025700000000000002,3396.603396603397,0,0.0
0.0051400000000000005,3396.603396603397,0,0.0
0.007710000000000001,3396.603396603397,0,0.0
0.010280000000000001,3396.603396603397,0,0.0
0.01285,3396.603396603397,0,0.0
0.015420000000000001,3396.603396603397,0,0.0
0.017990000000000003,3396.603396603397,0,0.0
0.020560000000000002,3396.603396603397,0,0.0
0.02313,3396.603396603397,0,0.0
0.0257,3396.603396603397,0,-1.1641532182693481e-10
0.028270000000000003,3396.603396603397,0,1.1641532182693481e-10
0.030840000000000003,3396.603396603397,0,0.0
0.03341,3396.603396603397,0,-1.1641532182693481e-10
0.035980000000000005,3396.603396603397,0,0.0
0.03855,3396.603396603397,0,0.0
0.041120000000000004,3396.603396603397,0,0.0
0.04369000000000001,3396.603396603397,0,0.0
0.04626,3396.603396603397,0,0.0
0.048830000000000005,3396.603396603397,0,0.0
0.0514,3396.603396603397,0,0.0
0.053970000000000004,3396.603396603397,0,0.0
0.05654000000000001,3396.603396603397,0,0.0
0.05911,3396.603396603397,0,0.0
0.061680000000000006,3396.603396603397,0,0.0
0.06425,3396.603396603397,0,0.0
0.06682,3396.603396603397,0,0.0
0.06939000000000001,3396.603396603397,0,0.0
0.07196000000000001,3396.603396603397,0,0.0
0.07453000000000001,3396.603396603397,0,-15472.806589822867
0.0771,3317.0731707317077,0,-18761.38811660325
0.07967,3300.1698616840567,0,-6852.118458837736
0.08224000000000001,3281.8532818532817,0,-7392.349935125792
0.08481000000000001,3262.1731830175104,0,-7912.685541555635
0.08738000000000001,3241.1820781696856,0,-8412.115131304716
0.08995,3218.934911242604,0,-8889.758047699463
0.09252,3195.488721804511,0,-9344.864399269805
0.09509000000000001,3170.902308230357,0,-9776.815002443385
0.09766000000000001,3145.235892691952,0,-10185.12006369629
0.10023000000000001,3118.550791102958,0,-10569.41668927262
0.1028,3090.9090909090905,0,-10929.46532392432
0.10537,3062.373339337987,0,-11265.145230441587
0.10794000000000001,3033.006244424621,0,-11576.449129034532
0.11051000000000001,3002.8703908147495,0,-11863.477119970601
0.11308000000000001,2972.027972027972,0,-12126.43001443753
0.11565000000000002,2940.5405405405404,0,-12365.602197611239
0.11822,2908.46877673225,0,-12581.37414464017
0.12079000000000001,2875.8722774370904,0,-12774.204705010634
0.12336000000000001,2842.809364548495,0,-12944.623263875023
0.12593000000000001,2809.3369138607723,0,-13093.221880712546
0.1285,2775.5102040816328,0,-13220.647496515187
0.13107000000000002,2741.3827857286838,0,-13327.594290832873
0.13364,2707.0063694267515,0,-13414.796259777271
0.13621000000000003,2672.4307329534286,0,-13483.020075750479
0.13878000000000001,2637.7036462373935,0,-13533.058279435674
0.14135,2602.8708133971295,0,-13565.722844685602
0.14392000000000002,2567.9758308157097,0,-13581.839147534047
0.14649,2533.0601601788044,0,-13582.240361741977
0.14906000000000003,2498.163115356356,0,-13567.762295190478
0.15163000000000001,2463.321861981525,0,-13539.238674110326
0.1542,2428.571428571429,0,-10132.534141034295
0.15677000000000002,2411.240636496609,0,-6736.712165484554
0.15934,2393.944728040838,0,-6722.401690334023
0.16191000000000003,2376.687491808292,0,-6706.6419378630235
0.16448000000000002,2359.4725884802224,0,-6689.482412766258
0.16705,2342.303552206674,0,-6670.972058172862
0.16962000000000002,2325.183792101214,0,-6651.159217080509
0.17219,2308.11659383088,0,-6630.091596773011
0.17476000000000003,2291.1051212938005,0,-6607.8162361326395
0.17733000000000002,2274.152418377158,0,-6584.379475762369
0.1799,2257.261410788382,0,-6559.826930824434
0.18247000000000002,2240.4349079527206,0,-6534.203466500505
0.18504,2223.675604970569,0,-6507.553175980749
0.18761000000000003,2206.9860846281795,0,-6479.919360883243
0.19018000000000002,2190.368819455629,0,-6451.3445140089025
0.19275,2173.826173826174,0,-6421.870304330485
0.19532000000000002,2157.3604060913704,0,-6391.537564122176
0.19789,2140.973670746586,0,-6360.386278130813
0.20046000000000003,2124.668020621778,0,-6328.455574691528
0.20303000000000002,2108.445409092671,0,-6295.78371869371
0.2056,2092.3076923076924,0,-6262.408106301562
0.20817000000000002,2076.2566314262813,0,-6228.365261338069
0.21074,2060.2938948644146,0,-6193.690833240515
0.21331000000000003,2044.421060543425,0,-6158.419596496096
0.21588000000000002,2028.6396181384248,0,-6122.585451473889
0.21845000000000003,2012.9509713228492,0,-6086.22142656619
0.22102000000000002,1997.3564400058744,0,-6049.35968155507
0.22359,1981.8572625596562,0,-6012.031512126327
0.22616000000000003,1966.4545980335454,0,-5974.267355450313
0.22873000000000002,1951.1495283526415,0,-5936.096796755795
0.23130000000000003,1935.9430604982208,0,-5897.548576822679
0.23387000000000002,1920.836128667773,0,-5858.650600323861
0.23644,1905.8295964125562,0,-5819.429944948235
0.23901000000000003,1890.9242587507388,0,-5779.912871240522
0.24158000000000002,1876.12084425438,0,-5740.124833093141
0.24415000000000003,1861.42001710864,0,-5700.090488834423
0.24672000000000002,1846.8223791417709,0,-5659.833712851803
0.24929,1832.328471824582,0,-5619.37760769797
0.25186000000000003,1817.9387782382034,0,-5578.744516627281
0.25443000000000005,1803.6537250091176,0,-5558.386470461388
